Iteration	Best Path Length	Current Path Length	Probability
0	610	610	6,201814382970091E-47
1	550	550	8,370409491867912E-48
2	500	500	1,003424883132832E-48
3	500	510	2,2579211902935732E-49
4	500	620	4,421021882652154E-51
5	500	530	1,0211818026462945E-52
6	500	550	3,5814350264955164E-54
7	500	550	1,3599325727621101E-55
8	500	560	5,0938813491338267E-57
9	500	520	1,2710240526276395E-58
10	500	520	1,8317387039336897E-60
11	500	560	1,1810494967695626E-61
12	500	610	6,355727356037488E-63
13	500	590	1,672480524544608E-64
14	500	540	3,54029966101728E-66
15	500	640	1,1441078194211836E-67
16	500	550	6,372368749739539E-69
17	500	590	1,3867555423547776E-69
18	500	550	1,198578533449863E-69
19	500	500	2,4049269446460025E-70
20	490	490	1,6413858755947613E-68
21	470	470	1,1015620345337311E-66
22	470	550	4,5301772758994403E-60
23	470	550	1,0558631188313863E-61
24	440	440	1,4777694067561759E-75
25	440	510	4,508766129423349E-62
26	440	450	4,651561439465387E-63
27	440	520	5,916776955817996E-63
28	440	490	4,114852920786231E-63
29	440	510	2,907622482097207E-64
30	440	450	1,238720011897641E-64
31	440	580	2,3522459798611954E-63
32	440	470	1,5291762229075503E-63
33	440	500	4,317414884537927E-64
34	440	470	6,102306624978019E-65
35	440	490	2,3465955728652112E-65
36	440	470	7,461990203820661E-67
37	440	490	2,6548134714115965E-67
38	440	460	2,4565571688858054E-68
39	440	460	8,452181633191116E-68
40	440	480	2,4056123440750554E-68
41	440	490	1,6874948274412214E-69
42	440	510	5,765796528887401E-69
43	440	540	3,215559581390275E-70
44	440	460	2,468449263847011E-71
45	440	500	4,902922493830721E-72
46	440	490	5,965646618774241E-73
47	440	460	4,604045960925968E-73
48	440	520	4,3312313292709126E-73
49	440	490	2,3247488788740987E-74
50	440	500	1,497875616628872E-75
51	440	520	3,439894473031183E-77
52	440	530	7,742039637642923E-79
53	440	450	8,025469904936797E-77
54	440	460	5,629156787687528E-77
55	440	540	2,7790994577047874E-77
56	440	460	1,5652689543045138E-78
57	440	480	1,5398146617798283E-79
58	440	490	3,5442642880937165E-80
59	440	460	2,359825555627992E-78
60	440	510	1,0113224511927446E-78
61	440	520	2,5952017103657968E-80
62	440	520	4,559341455138671E-81
63	440	460	6,625709151174194E-82
64	440	450	6,659487752274467E-81
